2015-10-07 12:07:34,373 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 12:07:34,374 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 12:08:45,486 [Worker-44] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\UDBAutomationUsingPOM\com.udb.test
2015-10-07 12:08:45,486 [Worker-44] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2015-10-07 12:08:47,160 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 12:08:47,161 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 12:08:47,162 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 12:08:47,163 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 12:08:54,062 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-10-07 12:09:05,396 [Worker-53] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\UDBAutomationUsingPOM\com.udb.test
2015-10-07 12:09:05,396 [Worker-53] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2015-10-07 12:09:45,184 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 12:09:45,186 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 12:09:45,188 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 12:09:45,189 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 12:10:23,268 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\UDBAutomationUsingPOM\com.udb.test
2015-10-07 12:10:23,269 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
